slug,displayName,aliases,clientDescription,clientInstructions,clientMistakes,clientBenefits,defaultCue,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,posterFile,videoFile,sourceName,contentStatus,reviewFlags
bench-dips,Bench Dips,,A bodyweight triceps dip off a bench or chair that builds arm pushing strength.,"Sit on the edge of a sturdy bench or chair and grip the edge with hands just outside your hips. | Slide your hips off the bench and walk your feet out so your weight is supported by your arms. | Lower your body slowly by bending your elbows straight back until your upper arms are roughly parallel to the floor. | Keep your back close to the bench and your shoulders pulled down away from your ears the whole way. | Pause briefly at the bottom with the triceps loaded, then press through your palms back up to the start. | Lock out the arms at the top without shrugging the shoulders, then repeat for the prescribed reps.","Letting the elbows flare out to the sides, which loads the front shoulders instead of the triceps. | Letting the shoulders shrug up toward the ears, which can increase stress at the front of the shoulder under the dip. | Cutting the depth short to make the reps easier, which removes most of the triceps work. | Using only the legs to push off the floor, which turns the dip into an assisted leg-press motion.",Builds triceps strength and size with no equipment needed. | Trains the pushing pattern in any home or travel setting. | Strengthens arm lockout for pressing and dipping movements.,"Set your shoulders, brace your trunk, and press through a controlled path.",Triceps,,Bodyweight,Push,beginner,posters/bench-dips.webp,bench-dips.mp4,Bench Dips,draft_requires_human_review,
bodyweight-alternating-lateral-lunge,Bodyweight Alternating Lateral Lunge,Alternating Lateral Lunge,A side-to-side lunge that loads one leg at a time.,"Stand tall with feet together, hands at your chest, and your core braced for balance. | Take a wide step out to one side and plant the foot flat with toes pointing forward. | Sit your hips back and bend the stepping leg, keeping the trailing leg straight and the chest tall. | Lower until the working thigh is roughly parallel to the floor and you feel a stretch in the inner thigh. | Push through the heel of the working leg to drive back up to standing in one strong motion. | Repeat on the opposite side and continue alternating for the prescribed reps.","Letting the knee of the working leg cave inward instead of tracking over the foot. | Leaning the chest too far forward, which loads the lower back instead of the glutes and quads. | Rounding the back when sitting into the lunge instead of hinging cleanly at the hips. | Cutting the depth short and turning a real lateral lunge into a shallow side step.",Builds glute and quad strength through a side-to-side hip pattern. | Opens up the inner thighs and improves lateral hip mobility. | Trains balance and single-leg control without weights.,"Stay tall, control the step, and keep the front knee tracking with the toes.",Glutes | Quadriceps,,Bodyweight,Lunge,intermediate,posters/bodyweight-alternating-lateral-lunge.webp,bodyweight-alternating-lateral-lunge.mp4,Bodyweight Alternating Lateral Lunge,draft_requires_human_review,absolute_or_safety_claim
bodyweight-alternating-reverse-lunges,Bodyweight Alternating Reverse Lunges,Alternating Reverse Lunges,A backward-stepping lunge that builds the glutes and quads.,"Stand tall with feet hip-width apart, hands on your hips or at your chest for balance. | Take a long step back with one leg and lower the back knee straight down toward the floor. | Drop until the back knee is just above the ground and the front thigh is roughly parallel to the floor. | Keep the front knee tracking over the front foot and your chest tall the entire descent. | Drive through the heel of the front foot to push yourself back up to standing in one strong motion. | Step back with the opposite leg and continue alternating for the prescribed reps.","Taking too short a step back, which loads the front knee instead of the front glute. | Slamming the back knee into the floor instead of lowering it under control. | Letting the chest collapse forward, which shifts the work to the lower back. | Pushing off the back foot instead of driving through the front heel — robs the front leg of work.","Builds the glutes, quads, and hamstrings through a knee-friendly lunge pattern. | Trains single-leg balance and split-stance control. | Strengthens the lower body anywhere with no equipment needed.","Stay tall, control the step, and keep the front knee tracking with the toes.",Glutes | Quadriceps,,Bodyweight,Lunge,intermediate,posters/bodyweight-alternating-reverse-lunges.webp,bodyweight-alternating-reverse-lunges.mp4,Bodyweight Alternating Reverse Lunges,draft_requires_human_review,
bodyweight-box-squat,Bodyweight Box Squat,Box Squat,A bodyweight squat to a bench or box.,"Set a sturdy bench or box behind you and stand in front of it with feet shoulder-width apart. | Cross your arms in front of your chest or hold them straight out for balance. | Sit your hips back as if reaching for the box, keeping your chest tall and your weight in your heels. | Lower under control until your glutes touch the box softly — do not crash down onto it. | Pause briefly on the box without losing core or leg tension, staying ready to drive back up. | Push through the floor with both feet to stand back up tall, squeezing your glutes at the top.","Plopping down onto the box instead of touching it under control, which kills the leg tension. | Squatting straight down instead of sitting the hips back, which loads the knees over the glutes. | Letting the knees cave inward as you stand back up, which weakens the lift and stresses the knees. | Rounding the lower back at the bottom — turns a teaching tool into a hard-to-control lower-back position.",Teaches consistent squat depth without guesswork. | Builds quad and glute strength with controlled mechanics. | Improves squat confidence for new lifters before adding load.,"Brace your trunk, keep your whole foot planted, and track your knees with your toes.",Glutes | Quadriceps,,Bodyweight,Squat,beginner,posters/bodyweight-box-squat.webp,bodyweight-box-squat.mp4,Bodyweight Box Squat,draft_requires_human_review,
bodyweight-deadlift,Bodyweight Deadlift,Deadlift,An unloaded hip hinge that teaches the deadlift pattern.,"Stand tall with feet hip-width apart, arms hanging loose at your sides, and your core lightly braced. | Push your hips back as if closing a car door with your butt, letting your knees bend just slightly. | Hinge forward at the hips with a flat back and let your hands slide down the front of your thighs. | Lower until you feel a strong stretch in your hamstrings and your torso is roughly parallel to the floor. | Drive through your heels and squeeze your glutes hard to stand back up to a tall position. | Lock out at the top by squeezing the glutes — do not lean back, just stand fully upright.","Squatting down instead of hinging back, which removes the hamstring stretch entirely. | Rounding the lower back as you bend forward, which is the exact pattern a hinge teach should address. | Bending the knees too much, which turns the lift into a half-squat instead of a clean hinge. | Hyperextending the back at the top instead of finishing in a tall, neutral standing position.",Teaches a controlled hip-hinge pattern with no equipment. | Activates the glutes and hamstrings before loaded hinge work. | Builds lower-back awareness for safer lifting in any program.,"Push your hips back, keep the load close, and move through a range you can control.",Core,Glutes,Bodyweight,Hinge,beginner,posters/bodyweight-deadlift.webp,bodyweight-deadlift.mp4,Bodyweight Deadlift,draft_requires_human_review,absolute_or_safety_claim | medical_or_rehab_claim | posture_or_correction_claim
bodyweight-donkey-calf-raise,Bodyweight Donkey Calf Raise,Donkey Calf Raise,A bent-over calf raise that targets the gastrocnemius through a deep stretch.,"Stand with the balls of your feet on the edge of a step or low platform, heels hanging off the back. | Hinge forward at the hips and place your hands on a sturdy surface in front of you for support. | Keep your back flat and your legs nearly straight with just a soft bend in the knees. | Lower your heels slowly below the platform until you feel a deep stretch through the calves. | Press through the balls of your feet to rise up as high as possible onto your toes. | Squeeze the calves hard at the top, then lower under control over 2 to 3 seconds and repeat.","Bending the knees too much, which shifts the work off the gastrocnemius onto the soleus. | Cutting the range short and skipping the deep heel stretch where most of the growth happens. | Bouncing the reps instead of lowering under control — kills the time-under-tension on the calves. | Rounding the back in the bent-over position, which increases stress on the lower back over volume.",Builds calf size by loading the gastrocnemius in a deep stretch. | Trains the calves through a fuller range than standing variations. | Develops calf shape with no machine needed.,"Keep the rest of your body still and move through a smooth, controlled range.",Calves,,Bodyweight,Isolation,beginner,posters/bodyweight-donkey-calf-raise.webp,bodyweight-donkey-calf-raise.mp4,Bodyweight Donkey Calf Raise,draft_requires_human_review,
bodyweight-elevated-push-up,Bodyweight Elevated Push Up,Elevated Push Up,A push-up with hands raised on a bench or box that scales the difficulty down.,"Place your hands on a sturdy bench or box slightly wider than shoulder width. | Walk your feet back until your body forms a straight line from head to heels at an incline. | Brace your core, squeeze your glutes, and pull your shoulder blades back and down. | Lower your chest toward the bench under control with elbows tracked at about 45 degrees from your torso. | Pause briefly when your chest is just above the bench, keeping full-body tension throughout. | Press back up explosively through the palms until your arms lock out, then reset for the next rep.","Letting the hips sag down or piking up, which breaks the straight body line and loads the back. | Flaring the elbows out wide, which can increase stress at the front of the shoulder and reduces chest engagement. | Cutting the depth short instead of bringing the chest close to the bench, which removes most of the chest work. | Using a surface that is too high — turns the push-up into a near-standing motion with little load.","Builds pressing strength at a scalable, beginner-friendly load. | Develops chest, triceps, and front-shoulder size with no equipment. | Teaches clean push-up mechanics before progressing to floor push-ups.","Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Triceps,Bodyweight,Push,intermediate,posters/bodyweight-elevated-push-up.webp,bodyweight-elevated-push-up.mp4,Bodyweight Elevated Push Up,draft_requires_human_review,
bodyweight-hip-abduction,Bodyweight Hip Abduction,Hip Abduction,A side-lying leg lift that targets the glute medius.,"Lie on your side on a mat with your legs stacked, your bottom arm extended under your head for support. | Stack your hips squarely on top of each other and bend the bottom leg slightly for stability. | Keep the top leg straight with the toes pointing slightly forward and your foot flexed. | Lift the top leg straight up toward the ceiling in a smooth, controlled motion. | Stop when you feel a strong contraction in the side of the hip — usually around 30 to 45 degrees. | Lower the leg back down slowly without letting it touch the bottom leg, then repeat for reps.","Rolling the hips back to lift the leg higher, which lets the hip flexors take over from the glute medius. | Lifting the leg too fast, which removes the time-under-tension that builds the glute. | Pointing the toes up instead of flexing the foot, which shifts the work off the side hip. | Letting the top hip drift forward — kills the side-glute contraction and turns the lift into a leg swing.",Builds the glute medius for hip stability and rounded glute shape. | Improves knee tracking under squats and lunges. | Activates the lateral hip muscles before lower-body training.,"Keep the rest of your body still and move through a smooth, controlled range.",Glutes,,Bodyweight,Isolation,beginner,posters/bodyweight-hip-abduction.webp,bodyweight-hip-abduction.mp4,Bodyweight Hip Abduction,draft_requires_human_review,medical_or_rehab_claim
bodyweight-knee-push-ups,Bodyweight Knee Push Ups,Knee Push Ups,A push-up done from the knees that drops the load.,"Start on all fours with hands placed slightly wider than shoulder width on the floor. | Walk your hands forward and lower your hips so your body forms a straight line from head to knees. | Brace your core, squeeze your glutes, and pull your shoulder blades back and down. | Lower your chest toward the floor under control with elbows tracked at about 45 degrees from your torso. | Pause briefly with your chest just above the floor, keeping full-body tension throughout. | Press back up through the palms until your arms lock out, then reset for the next rep.","Letting the hips pike up so the body bends at the waist, which removes most of the chest work. | Flaring the elbows out to 90 degrees, which can increase stress at the front of the shoulder and reduces chest engagement. | Cutting the depth short and bouncing off a partial range, which kills the strength carryover. | Sitting the hips back toward the heels — turns a push-up into a half-rep stretch.",Builds chest and triceps strength at a beginner-friendly load. | Teaches clean push-up mechanics before progressing to full push-ups. | Trains the upper body anywhere with no equipment.,"Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Triceps,Bodyweight,Push,beginner,posters/bodyweight-knee-push-ups.webp,bodyweight-knee-push-ups.mp4,Bodyweight Knee Push Ups,draft_requires_human_review,medical_or_rehab_claim
bodyweight-reverse-lunge,Bodyweight Reverse Lunge,Reverse Lunge,A single-leg lunge stepping backward.,"Stand tall with feet hip-width apart and your hands on your hips or at your chest. | Take a long step back with one leg, planting the ball of the back foot down lightly. | Lower the back knee straight down toward the floor while keeping the front shin near vertical. | Drop until the back knee is just above the ground and the front thigh is roughly parallel to the floor. | Drive through the heel of the front foot to push yourself back up to a tall standing position. | Repeat on the same leg for the prescribed reps, then switch sides without losing form.","Stepping back too short, which puts the load on the front knee instead of the front glute. | Letting the front knee cave inward instead of tracking over the foot. | Pushing off the back foot instead of driving through the front heel — robs the working leg of work. | Slamming the back knee into the floor instead of lowering it under control.","Builds the glutes, quads, and hamstrings through a single-leg pattern. | Easier on the knees than forward lunges, making it accessible for more users. | Trains balance and stability without weights.","Stay tall, control the step, and keep the front knee tracking with the toes.",Glutes | Quadriceps,Glutes | Quadriceps,Bodyweight,Lunge,beginner,posters/bodyweight-reverse-lunge.webp,bodyweight-reverse-lunge.mp4,Bodyweight Reverse Lunge,draft_requires_human_review,
bodyweight-russian-twist,Bodyweight Russian Twist,Russian Twist,A seated rotational core exercise that twists side to side.,"Sit on the floor with your knees bent and your feet flat on the ground in front of you. | Lean back until your torso is at about a 45-degree angle and brace your core hard. | Lift your feet a few inches off the floor and balance on your sit bones with shins parallel to the ground. | Clasp your hands together in front of your chest and rotate your torso to one side under control. | Tap your hands lightly to the floor beside your hip, feeling the oblique on that side contract. | Rotate smoothly to the other side and tap, alternating for the prescribed reps without dropping the feet.","Just swinging the arms side to side without rotating the torso — loads the shoulders, not the core. | Rounding the back instead of staying tall through the spine, which can increase demand on the lower back. | Letting the feet drop to the floor every rep, which breaks the constant core tension. | Rushing the tempo instead of pausing on each side — turns a controlled twist into momentum-only work.",Builds the obliques and abdominals through the rotation pattern. | Develops core endurance and rotational strength. | Trains the core anywhere with no equipment needed.,Rotate through the trunk under control without forcing the end range.,Core,Core,Bodyweight,Rotation,beginner,posters/bodyweight-russian-twist.webp,bodyweight-russian-twist.mp4,Bodyweight Russian Twist,draft_requires_human_review,
bodyweight-spinal-jefferson-curl,Bodyweight Spinal Jefferson Curl,Spinal Jefferson Curl,"A slow, segmented forward fold that mobilizes the entire spine.","Stand tall on a flat surface with feet hip-width apart and arms hanging in front of your thighs. | Tuck your chin to your chest and start rolling down slowly, one vertebra at a time. | Continue folding forward through the upper back, then mid-back, then lower back as you descend. | Let your arms hang relaxed in front of your shins and reach for the floor without straining. | Pause briefly at the bottom, feeling the stretch through the entire back of the body. | Reverse the motion by rolling back up segment by segment until you stand fully tall again.","Folding from the hips only instead of rounding the spine — defeats the entire point of the drill. | Bending the knees too much, which removes the hamstring stretch and shortens the load on the back. | Going too heavy too soon — this is a mobility tool, not a strength lift. | Snapping back up to standing instead of rolling up segment by segment under control.","Improves spinal mobility through a full forward-fold range. | Stretches the hamstrings, glutes, and entire back of the body. | Builds resilience and control in a flexed spine position.",Ease into a comfortable stretch and avoid bouncing or forcing the position.,Core,,Bodyweight,Stretch,beginner,posters/bodyweight-spinal-jefferson-curl.webp,bodyweight-spinal-jefferson-curl.mp4,Bodyweight Spinal Jefferson Curl,draft_requires_human_review,absolute_or_safety_claim
bodyweight-squat,Bodyweight Squat,Squat,The foundational squat pattern done with just bodyweight.,"Stand tall with feet shoulder-width apart and your toes pointed slightly outward. | Brace your core, lift your chest, and extend your arms straight out for balance. | Sit your hips back and down as if lowering into a chair, keeping your weight in your heels. | Lower until your thighs are at least parallel to the floor, with knees tracking over your toes. | Keep your chest tall and your spine neutral throughout the descent — no rounding at the bottom. | Drive through your heels to stand back up, squeezing your glutes hard at the top of the rep.","Letting the knees cave inward, which weakens the squat and loads the knee joint badly. | Squatting straight down instead of sitting the hips back, which puts all the work on the knees. | Lifting the heels off the floor at the bottom, which kills balance and reduces glute drive. | Cutting the depth short and squatting only halfway — robs the lift of glute and quad work.","Builds the quads, glutes, and inner thighs with no equipment. | Teaches the foundational squat pattern for every loaded variation. | Improves lower-body mobility and balance in any setting.","Brace your trunk, keep your whole foot planted, and track your knees with your toes.",Glutes | Quadriceps,Quadriceps,Bodyweight,Squat,beginner,posters/bodyweight-squat.webp,bodyweight-squat.mp4,Bodyweight Squat,draft_requires_human_review,
box-jump,Box Jump,,An explosive jump from the floor onto a box.,"Stand a comfortable distance in front of a sturdy box with feet shoulder-width apart. | Drop into a quarter squat by sitting your hips back and swinging your arms behind you. | Explode upward by driving through the floor and swinging your arms forward and up. | Pull your knees up underneath you in mid-air and aim to land softly on top of the box. | Land in a soft quarter squat with both feet flat on the box and your chest tall. | Stand fully tall on top of the box, then step down one leg at a time and reset for the next rep.","Jumping down from the box instead of stepping down — adds unnecessary impact to the knees over volume. | Landing with stiff legs and a flat impact instead of absorbing softly into a quarter squat. | Choosing a box too tall and barely clearing it, which leads to scraped shins and missed reps. | Using too much arm swing without leg drive — turns a power lift into an arm-thrown jump.","Builds explosive lower-body power for sport and athletic performance. | Trains reactive strength with reduced landing impact. | Develops glute, quad, and calf power through triple extension.","Land quietly, regain control, and stop the set if your technique changes.",Glutes | Quadriceps,,Bodyweight,Plyometric,beginner,posters/box-jump.webp,box-jump.mp4,Box Jump,draft_requires_human_review,
bulgarian-split-squat,Bulgarian Split Squat,,A rear-foot-elevated split squat that punishes one leg at a time.,"Stand a stride-length away from a bench and place the top of your back foot on the bench behind you. | Square your hips forward and brace your core with your hands on your hips or at your chest. | Lower your back knee straight down toward the floor while keeping your front shin near vertical. | Drop until the back knee is just above the ground and the front thigh is roughly parallel to the floor. | Keep your weight in the front heel and your chest tall throughout the descent. | Drive through the front heel to push yourself back up, finishing with the front glute squeezed.","Standing too close to the bench, which shoves the front knee too far forward and loads the joint. | Letting the front knee cave inward instead of tracking over the foot. | Pushing off the back foot instead of driving through the front heel — robs the front leg of work. | Twisting the hips to compensate for balance instead of staying square — kills the unilateral training.","Builds single-leg strength in the glutes, quads, and hamstrings. | Exposes and can help practise left-right strength imbalances. | Improves hip stability and balance under load.","Stay tall, control the step, and keep the front knee tracking with the toes.",Glutes | Quadriceps,,Bodyweight,Lunge,beginner,posters/bulgarian-split-squat.webp,bulgarian-split-squat.mp4,Bulgarian Split Squat,draft_requires_human_review,medical_or_rehab_claim | posture_or_correction_claim
burpee,Burpee,,A squat-thrust into a push-up into a jump.,"Stand tall with feet shoulder-width apart, arms relaxed at your sides, and core braced. | Drop into a low squat and place your hands on the floor just in front of your feet. | Kick or step both feet back so you land in a high plank position with arms straight. | Lower your chest to the floor in a controlled push-up, then press back up to the high plank. | Jump or step both feet back up under your hips into the squat position. | Explode upward into a jump with arms reaching overhead, land softly, and reset for the next rep.","Skipping the push-up at the bottom and turning the burpee into a squat-thrust-jump instead. | Sagging the hips in the plank position, which can increase demand on the lower back over volume. | Landing the jump with stiff legs instead of absorbing softly into a quarter squat. | Going so fast that form collapses — turns a conditioning lift into a sloppy loss of control.","Trains full-body strength and conditioning in a single movement. | Raises the heart rate quickly for efficient cardio work. | Builds explosive power, pressing strength, and core endurance at once.","Land quietly, regain control, and stop the set if your technique changes.",Core | Chest,Quadriceps,Bodyweight,Plyometric,intermediate,posters/burpee.webp,burpee.mp4,Burpee,draft_requires_human_review,medical_or_rehab_claim
cable-30-degree-shrug,Cable 30 Degree Shrug,30 Degree Shrug,A cable shrug performed at a 30-degree angle that loads the upper traps along their natural fiber line.,"Set the cable at the lowest pulley setting and attach a straight bar or rope handle. | Stand a foot or two back from the cable and grip the handle with arms straight. | Lean your torso forward at about a 30-degree angle, keeping a flat back and braced core. | Let your shoulders relax forward and down so the cable pulls your traps into a stretch. | Shrug your shoulders up and slightly back along the angle of the cable, squeezing the traps hard. | Lower the weight back down under control over 2 to 3 seconds and repeat for high reps.","Standing fully upright, which turns the lift into a regular straight-up shrug. | Bending the elbows instead of keeping the arms straight — loads the biceps, not the traps. | Rounding the lower back in the leaned-over position, which can increase stress on the spine over volume. | Using too much weight and rolling the shoulders forward instead of shrugging up and back.",Builds upper-trap size along the natural fiber direction. | Develops back thickness and a stronger upper-back silhouette. | Trains the traps through a fuller range than standing dumbbell shrugs.,"Keep the rest of your body still and move through a smooth, controlled range.",Trapezius,,Cable Machine,Isolation,beginner,posters/cable-30-degree-shrug.webp,cable-30-degree-shrug.mp4,Cable 30 Degree Shrug,draft_requires_human_review,
cable-bar-curl,Cable Bar Curl,Bar Curl,A two-handed cable curl using a straight bar attachment that hammers the biceps with constant tension from bottom to top.,"Set the pulley to the lowest position and attach a straight bar, then grip it underhand at shoulder width. | Step back so the cable has tension at full arm extension and stand tall with your elbows tucked at your ribs. | Curl the bar up toward your shoulders by bending only at the elbows, keeping the upper arms locked in place. | Squeeze the biceps hard at the top with the bar a few inches from your collarbone. | Lower the bar slowly over 2 to 3 seconds, fighting the cable tension all the way back to full extension. | Reset your stance and repeat for 10 to 15 controlled reps without using your back or hips.","Swinging the torso back to fling the bar up, which steals load from the biceps and can increase demand on the lower back. | Letting the elbows drift forward at the top, turning the curl into a partial front raise. | Cutting the lockout short at the bottom, missing the long-head stretch where most growth lives. | Rushing the lowering phase, which throws away the highest-tension half of the rep where the biceps grow most.",Builds biceps size and peak with constant cable tension. | Trains both heads of the biceps through a full range of motion. | Reinforces strict elbow mechanics for cleaner curl form.,"Keep the rest of your body still and move through a smooth, controlled range.",Biceps,,Cable Machine,Isolation,beginner,posters/cable-bar-curl.webp,cable-bar-curl.mp4,Cable Bar Curl,draft_requires_human_review,
cable-bar-face-pull,Cable Bar Face Pull,Bar Face Pull,A high-cable face pull using a straight bar that targets the rear delts and upper-back posture muscles.,"Set the pulley above head height and attach a straight bar, then grip it overhand at shoulder width. | Step back until the cable has tension and stand with feet hip-width apart and a slight forward lean. | Pull the bar toward your forehead with the elbows flaring wide and high, leading with the back of the upper arms. | Squeeze your rear delts and upper back at the end of the pull, keeping your wrists in line with your forearms. | Slowly let the bar travel back to full arm extension over 2 to 3 seconds, keeping the chest tall. | Repeat for 12 to 20 reps, prioritizing the squeeze and elbow path over loading heavy weight.","Pulling the bar too low toward the chin or chest, which turns the lift into a row and loses the rear-delt focus. | Letting the elbows drop instead of leading high and wide, swapping rear-delt work for biceps engagement. | Leaning back hard to use bodyweight as a counterweight instead of pulling cleanly with the back. | Loading too heavy and shrugging the traps up, hiding the rear delts under upper-trap dominance.",Builds the rear delts and upper-back muscles that balance pressing work. | Reinforces healthy shoulder posture for desk workers and lifters alike. | Strengthens the small stabilizers around the shoulder blade for joint health.,Keep your ribs controlled and lead the movement with your elbows.,Shoulders,,Cable Machine,Pull,beginner,posters/cable-bar-face-pull.webp,cable-bar-face-pull.mp4,Cable Bar Face Pull,draft_requires_human_review,posture_or_correction_claim
cable-bar-pushdown,Cable Bar Pushdown,Bar Pushdown,A standing triceps pushdown using a straight bar attachment.,"Set the pulley to the highest position and attach a straight bar, then grip it overhand at shoulder width. | Step close to the stack and tuck your elbows tight against your ribs with your forearms parallel to the floor. | Press the bar straight down by extending your elbows fully, keeping the upper arms locked in place. | Squeeze the triceps hard at the bottom with the arms straight and the bar near your thighs. | Let the bar travel back up slowly over 2 seconds, stopping when your forearms are parallel to the floor. | Repeat for 10 to 15 reps, keeping a tall torso and avoiding any forward lean to muscle the bar down.","Letting the elbows flare forward and away from the ribs, turning the lift into a chest-driven press. | Leaning the torso forward to push down with bodyweight, which steals load from the triceps. | Cutting the lockout short, missing the strongest contraction at the bottom of the movement. | Bouncing the weight up at the top instead of controlling the return, throwing away half the working set.",Builds triceps size and lockout strength with isolated tension. | Targets all three heads of the triceps through a full range of motion. | Reinforces stable elbow mechanics for stronger pressing lifts.,"Keep the rest of your body still and move through a smooth, controlled range.",Triceps,,Cable Machine,Isolation,beginner,posters/cable-bar-pushdown.webp,cable-bar-pushdown.mp4,Cable Bar Pushdown,draft_requires_human_review,
cable-bench-chest-fly,Cable Bench Chest Fly,Bench Chest Fly,A bench-supported cable fly that puts the chest under deep stretch with constant tension top to bottom.,"Position a flat bench between two cable stations and set both pulleys to the lowest position with single handles. | Lie back on the bench and press both handles up over your chest with a slight bend in your elbows. | Lower the handles out to your sides in a wide arc, keeping the elbow angle locked the whole way down. | Stop when your hands are roughly level with your shoulders and you feel a deep stretch across the chest. | Bring the handles back together in the same arc by squeezing the chest, finishing with the hands meeting above you. | Pause at the top with a hard chest squeeze, then repeat for 10 to 15 controlled reps.","Bending the elbows mid-rep, which turns the fly into a sloppy press and shifts load off the chest. | Dropping the hands too far below shoulder level, overstretching the front shoulders and which can increase stress around the joint. | Rushing the lowering phase, where most of the chest-building tension lives. | Letting the shoulders roll forward off the bench, losing the stable platform that keeps the chest loaded.",Builds chest size with constant cable tension through a full arc. | Develops the inner-chest squeeze that pressing alone misses. | Trains the chest in deep stretch for stronger hypertrophy stimulus.,"Keep the rest of your body still and move through a smooth, controlled range.",Chest,,Cable Machine,Isolation,beginner,posters/cable-bench-chest-fly.webp,cable-bench-chest-fly.mp4,Cable Bench Chest Fly,draft_requires_human_review,
cable-bench-press,Cable Bench Press,Bench Press,"A bench-supported cable press that trains the chest and triceps with smooth, constant tension through the full press.",Place a flat bench between two cable stations and set both pulleys to the lowest position with single handles. | Lie back on the bench and press both handles up so your arms are extended directly over your chest. | Lower the handles to chest level with the elbows tracking at about 60 to 75 degrees from your torso. | Pause briefly at the bottom with a deep chest stretch and a tight upper back pressed into the bench. | Press both handles back up in a slight arc until they meet above your chest at full arm extension. | Squeeze the chest at the top and repeat for 8 to 12 controlled reps.,"Letting the elbows flare wide to 90 degrees, which can increase stress at the front of the shoulder and reduces chest engagement. | Pressing the handles in different paths, causing one side to dominate and creating uneven loading. | Cutting the lockout short, missing the chest-squeeze position at the top of the press. | Lifting the head or hips off the bench for leverage, which destabilizes the press.","Builds chest and triceps strength with smooth, constant tension. | Removes the lockout dead spot found in barbell pressing. | Allows independent arm work to expose and address side-to-side imbalances.","Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Triceps,Cable Machine,Push,beginner,posters/cable-bench-press.webp,cable-bench-press.mp4,Cable Bench Press,draft_requires_human_review,posture_or_correction_claim
cable-bench-straight-leg-kickback,Cable Bench Straight Leg Kickback,Bench Straight Leg Kickback,A bench-supported cable kickback that isolates the glutes with a straight-leg drive against constant cable tension.,"Attach a cable cuff to your ankle and set the pulley to the lowest position, then face the cable stack. | Stand a few feet back from the stack and rest your forearms on a flat bench in front of you. | Brace your core and start with the working leg lightly forward so the cable has tension at rest. | Drive the straight leg back and up by squeezing the glute, finishing in line with or slightly above your torso. | Pause at the top for a hard glute squeeze, keeping your hips level and your lower back neutral. | Lower the leg under control back to the start, then repeat for 12 to 15 reps before switching sides.","Arching the lower back to throw the leg higher, which loads the spine instead of the glutes. | Letting the working hip rotate open, which lets the lower back take over the movement. | Bending the knee mid-rep, swapping glute work for hamstring engagement. | Rushing the return phase and letting the cable yank the leg forward instead of controlling the descent.","Isolates and builds the glutes without involving the quads. | Strengthens hip extension for sport, sprinting, and heavier hinges. | Shapes the glutes from a different angle than squats and deadlifts.","Keep the rest of your body still and move through a smooth, controlled range.",Glutes,Core,Cable Machine,Isolation,beginner,posters/cable-bench-straight-leg-kickback.webp,cable-bench-straight-leg-kickback.mp4,Cable Bench Straight Leg Kickback,draft_requires_human_review,
cable-chest-press,Cable Chest Press,Chest Press,"A standing cable press that trains the chest, triceps, and front delts through a horizontal push pattern with constant tension.","Set both cable pulleys to chest height and grip a single handle in each hand with an overhand grip. | Step forward into a staggered stance with one foot ahead of the other and brace your core hard. | Start with the handles by your chest, elbows tucked at about 60 to 75 degrees from your torso. | Press both handles forward in a slight arc until your arms meet at full extension in front of your chest. | Squeeze the chest at the top, then return the handles slowly to the start over 2 to 3 seconds. | Repeat for 10 to 15 reps, keeping the torso upright and the staggered stance locked the whole set.","Leaning the torso forward to push the handles instead of pressing cleanly with the chest and arms. | Letting the elbows flare wide to shoulder height, which can increase stress at the front of the shoulder. | Allowing one arm to lead the press, creating uneven loading and shoulder asymmetry over time. | Cutting the range short on the way back, missing the chest stretch that drives growth.","Builds chest, triceps, and front-delt strength in a standing position. | Trains the core to brace against horizontal load — useful for sport. | Removes the lockout dead spot found in barbell pressing.","Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Shoulders | Triceps,Cable Machine,Push,beginner,posters/cable-chest-press.webp,cable-chest-press.mp4,Cable Chest Press,draft_requires_human_review,
cable-decline-bench-press,Cable Decline Bench Press,Decline Bench Press,A decline cable press performed on a bench that targets the lower chest with smooth constant tension.,"Set a decline bench between two cable stations with both pulleys at the lowest position and single handles attached. | Lock your feet under the pads and lie back, then press both handles up over your lower chest. | Lower the handles to chest level with the elbows tracking at about 60 to 75 degrees from your torso. | Pause briefly at the bottom with a deep chest stretch, keeping the upper back tight against the bench. | Press the handles back up in a slight arc until they meet above the lower chest at full extension. | Squeeze the chest hard at the top and repeat for 8 to 12 reps with controlled tempo.","Letting the elbows flare wide, which can increase stress at the front of the shoulder and pulls focus off the lower chest. | Rushing the descent and missing the deep chest stretch that drives hypertrophy. | Pressing the handles unevenly, creating side-to-side imbalances over time. | Lifting the hips off the bench for leverage, which destabilizes the press and can increase demand on the lower back.",Targets the lower chest with constant cable tension. | Builds a thicker lower-chest line for balanced chest development. | Removes the lockout dead spot found in barbell decline pressing.,"Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Triceps,Cable Machine,Push,beginner,posters/cable-decline-bench-press.webp,cable-decline-bench-press.mp4,Cable Decline Bench Press,draft_requires_human_review,
